_051920_183407_RSLT.csv
TARGET LOAD,,0.0500000007451,0.0999999940395,0.149999991059,0.199999988079,0.249999985099,0.299999982119,0.34999999404,0.399999976158,0.449999988079,0.5,0.549999952316,0.599999964237,0.649999976158,0.699999988079,0.749999940395,0.799999952316,0.849999964237,0.899999976158,
SIM TIME (sec),,53.027420302,26.498701636,17.646870419,13.229779319,10.595855384,8.821717956,7.570879892,6.60620614,5.890267478,5.291890251,4.807375955,4.618907085,4.480433713,4.393119072,4.324187148,4.266964882,4.195973808,4.145073358,
ONU LOAD,,0.0499975176975,0.100006109031,0.150028298907,0.200059695342,0.25005281348,0.299988000999,0.349961017451,0.399961430813,0.450020683254,0.500023671031,0.550113355967,0.599811381571,0.649916993873,0.699955717021,0.749940027804,0.799970693314,0.849849947395,0.899846062507,
OFFERED LOAD,,0.0799960283159,0.16000977445,0.240045278252,0.320095512547,0.400084501569,0.479980801599,0.559937627921,0.639938289301,0.720033093207,0.80003787365,0.880181369547,0.959698210513,1.0398671902,1.11992914723,1.19990404449,1.2799531093,1.35975991583,1.43975370001,
CARRIED LOAD,,0.0799952946578,0.160009974611,0.240041268476,0.320096458292,0.400081362983,0.479980350893,0.559936207742,0.639915898234,0.720035984756,0.800008616808,0.880226560105,0.914049927895,0.912901722914,0.912695052032,0.912083415683,0.911791946639,0.910752640237,0.91095233543,
AVG DLY (ms),,0.321830080122,0.322487258225,0.323377756936,0.324048353878,0.325125969223,0.327371469019,0.329395879922,0.340702416131,0.351267598656,0.402569470412,0.727029913602,96.6248080659,145.400217572,145.911735763,146.165469257,146.312049037,146.648048513,146.704304574,
MAX DLY (ms),,0.544409,0.579242,0.58813,0.616819,0.605913,0.624789,0.611065,0.691797,0.838153,0.994602,2.35752,148.874,149.257235,149.306835,149.340396,149.279347,149.88618,149.623073,
AVG QUEUE (bytes),,201.517011757,403.638204846,607.218944673,811.643595409,1017.51443426,1229.56660302,1442.56568503,1703.90272386,1977.53879721,2518.11716619,4993.41054684,705391.094766,1036961.32626,1040343.62916,1041381.10069,1042166.28829,1043546.62806,1044096.42176,
RECV PACKETS,,1000012,999996,1000019,999998,1000011,1000019,999979,1000041,999988,1000046,999957,1045115,1099572,1161424,1224873,1287711,1347102,1407882,
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,0,13384,99361,160375,224232,287189,346084,407885,
RECV BYTES,,530247877,530006409,529505990,529349124,529904690,529281907,529902566,528445532,530148439,529214078,528920344,554094608,582382002,614997762,648576206,682689371,713189624,745985588,
SENT BYTES,,530243014,530007072,529497145,529350688,529900533,529281410,529901222,528427042,530150568,529194725,528947500,527738961,511274457,501197255,493002423,486323027,477686778,471995532,
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,0,9926340,71030640,113695288,155572105,196314717,235478714,273999044,
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0.0128062462026,0.0903633413728,0.13808479935,0.183065509649,0.223022867709,0.256910018692,0.289715331256,
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0.0179145219186,0.121965719676,0.184871059742,0.239867117481,0.287560822446,0.330176864716,0.367298039543,
AVG CYCLE (ms),,0.206502892281,0.207586919773,0.208683574944,0.209871435008,0.211161065705,0.213068913267,0.215731031572,0.221622478194,0.228881954537,0.256608405179,0.374143637015,1.92796380968,2,2,2,2,2,2,
MAX CYCLE (ms),,0.267624,0.292272,0.290432,0.319072,0.311256,0.306472,0.345544,0.389944,0.498984,0.5148,1.21156,2,2,2,2,2,2,2,
CYCLES,,256787,127651,84563,63038,50179,41403,35094,29808,25735,20623,12849,2396,2240,2197,2162,2133,2098,2073,
SCHD PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCHD BYTES,,55946257,45087684,41455958,39611905,38579049,37807660,37332008,36780465,36535291,36040406,35393140,35803648,34720000,34053500,33511000,33061500,32519000,32131500,

